3374,673,3.78517
5953,3082,3.78492
1812,2044,3.59918
1908,292,3.12995
5787,2804,3.75363
2173,2917,3.78036
544,1204,3.9701
4783,50,3.80676
1724,207,4.13849
3746,223,3.86652
5795,786,2.48321
649,356,3.85696
6037,1407,3.64774
3371,3260,3.6019
392,2795,3.56708
4169,3896,3.42575
3373,3753,3.65813
317,2804,4.04934
5636,745,3.45277
1632,3362,2.82774
300,2020,4.18982
1367,3703,3.86251
1163,3535,3.77893
5074,1554,3.43378
1896,3419,4.11524
4170,3198,3.80872
5278,1375,3.67927
1465,2750,3.78364
4979,2454,2.95048
1605,590,3.41283
3607,2248,3.58778
2567,252,3.41099
4020,1198,3.65714
1002,1729,4.19924
4412,2712,3.05714
3808,1544,2.97078
1440,161,3.12412
4160,1301,3.50414
1128,541,3.49802
2085,1884,3.70959
5476,3654,3.9955
5464,1387,4.12284
1706,1281,4.09264
5797,165,3.33677
1561,3095,3.98558
4447,2010,3.32457
4824,3686,3.75964
1447,435,2.97676
4541,3827,2.86527
4607,955,4.01385
5300,2384,4.27836
439,1302,4.08528
1605,1031,3.29896
4457,3152,4.42115
628,141,4.00989
2819,260,3.91794
5974,2114,3.12823
1866,333,4.12507
2100,2088,3.78176
1624,507,3.00944
2110,1617,3.49068
4643,2692,3.09337
5727,2858,3.55971
5403,2087,3.07179
5435,3730,4.17299
3224,832,3.6849
5001,339,4.15817
1736,2150,3.20404
2064,1952,4.45575
4447,3634,3.26504
134,112,2.53909
3032,2490,4.25882
2030,916,4.0991
3685,1732,4.35212
2016,153,3.99313
710,2324,3.62119
2199,2828,2.50055
1820,185,3.43392
2750,2946,4.26472
1015,1212,4.01968
5766,3565,3.75409
2072,2208,4.35214
5305,912,3.95361
1998,300,3.84676
1579,3591,3.40019
3808,427,3.01361
385,3793,4.11109
2631,1919,4.19192
5992,2961,3.17708
3099,1206,3.04447
430,339,3.99624
3806,3694,2.82345
770,2379,2.6473
5837,1027,3.95089
367,3099,4.27747
2109,3039,3.04311
3080,1783,3.58963
4840,3100,3.88688
4726,2581,3.59024
2109,520,2.60607
5482,1093,4.07698
2330,1262,3.08586
2764,2312,4.15498
524,1050,3.71547
2237,35,4.00466
5746,2683,3.65171
2419,468,3.39512
1521,25,3.4359
1731,1259,3.43726
4607,1277,4.06864
4478,2134,3.21683
549,919,3.92826
5531,2993,3.93787
4001,3388,3.3807
1695,1373,3.0554
2683,2108,4.35082
3539,3422,3.99697
1693,594,3.85556
777,1167,2.60705
3804,1982,3.82262
212,2518,4.00566
3858,2140,4.33721
2941,1211,3.63644
2752,2474,3.24759
3918,2707,2.72523
3018,733,3.64941
4007,3945,2.72416
563,3658,2.8062
5081,1265,3.86642
921,2571,3.8471
2190,2394,3.83962
3705,2801,3.75566
4048,2565,4.03225
2304,1089,3.86318
5367,479,2.23357
1884,708,3.78633
5361,318,3.62045
5948,1198,4.20058
4362,3253,3.00279
5504,1882,3.83227
4771,492,3.81487
87,3633,3.22331
2947,3752,3.63913
3771,328,2.4318
1842,3566,4.26843
3812,1967,3.32837
2907,1703,3.32431
3859,227,3.37402
4884,3633,3.93329
2611,3524,3.44704
1194,1834,3.48078
2998,2792,3.32676
4774,2916,4.24318
3618,597,3.09166
1884,1253,3.8794
752,3720,3.15962
3360,933,3.78142
199,62,3.30802
1418,694,2.85528
6007,2746,3.02093
5009,1269,4.10793
5785,923,4.36216
2158,593,3.96404
5479,3361,3.58626
4041,1885,3.32165
977,3210,3.83287
4907,3685,3.53331
1511,1250,4.23842
6009,1586,3.29934
1514,2007,3.68786
860,3908,3.69235
406,551,3.04828
1383,3846,3.11657
157,3105,3.6811
4227,2160,2.84062
5795,1479,2.51931
5580,2290,3.83184
4318,933,3.87363
970,1127,3.30286
4625,3101,3.45933
1749,1237,3.15543
3755,1293,4.55788
3768,543,3.31336
3654,2280,3.32778
3185,50,4.21931
4086,529,4.63134
5994,1527,4.39099
5185,2137,3.37813
130,524,4.31282
2206,492,3.97912
1613,1394,3.80629
1320,1372,3.8346
2470,2145,3.27647
22,3037,3.15842
6037,930,3.80401
5420,938,2.88513
5718,3408,4.24427
566,1431,2.32137
3507,2395,3.76906
2820,3755,2.78571
5896,34,2.90032
3208,2420,3.34535
2635,1965,3.26245
1555,3270,4.3003
869,802,3.57939
1587,196,3.14483
4391,2123,3.40803
4467,909,3.55026
4448,2644,4.40206
623,1391,4.19121
1434,934,2.30013
1286,1093,3.6366
5818,785,3.44175
1690,3384,3.45467
349,2006,3.26761
4227,1564,3.18997
4386,2002,3.48652
3334,2700,3.78334
2776,3591,3.83744
4937,290,4.20006
3167,2001,3.68565
3701,1283,3.87302
1837,2572,3.3468
2030,2985,3.82135
3900,1291,3.85215
520,1909,3.75991
4477,2622,3.47049
3802,3793,3.10458
5996,2279,3.6909
5480,3210,3.64729
1053,3175,3.35413
4407,1863,3.00931
1001,364,3.58285
924,300,4.03592
5319,2386,3.81554
4514,1333,3.6102
5501,920,3.36625
1181,1394,3.03785
2181,1682,3.47765
4169,2469,3.50604
4946,3114,3.83519
2927,2248,3.93541
5875,17,3.98652
4335,2720,3.37686
4883,2354,2.66416
1034,3287,3.50243
3688,3358,4.48228
1741,1265,4.13104
5271,58,3.7483
2427,2599,4.06624
1173,1747,3.46265
3013,910,3.76605
3562,2148,3.27563
2206,337,3.88798
1816,1275,4.09722
338,2605,3.52119
524,1215,3.73481
4508,3744,2.76536
3955,3824,3.39796
1694,750,3.98528
721,653,3.56423
2996,1385,3.15848
163,544,1.96212
5367,1104,3.30722
4802,3873,4.11242
637,2872,3.78472
148,2929,3.79075
2243,1094,4.75389
4972,1243,3.63537
1824,1059,3.62986
4378,785,3.24814
1937,1885,3.19044
4411,2188,3.65065
5367,3593,2.23548
4271,3296,3.04516
268,3825,3.53794
2761,1252,3.90659
5103,356,4.33244
386,2890,3.59112
2700,799,3.21452
3690,1120,3.07182
5979,913,3.87478
2116,3457,3.54357
716,2268,4.18559
3869,34,3.18268
2183,3004,3.60557
2899,3070,4.00802
273,3793,3.88401
1426,2248,3.62775
5319,1580,3.74397
2012,3256,2.95737
3611,222,3.98321
131,319,3.51692
889,353,2.75014
5111,2028,3.78052
5765,260,3.42298
5795,1082,3.645
1199,3252,3.77175
931,1197,4.05956
5220,3394,3.2475
4732,1009,3.62022
5661,1394,3.85765
579,1356,3.63764
117,2533,3.43236
3965,2951,3.9699
4213,3015,4.05955
1832,3260,4.1945
5890,3098,3.93735
3255,2166,3.47017
859,2791,3.8481
4352,2986,3.4739
3683,2302,2.93519
1529,1615,3.85671
518,1150,4.53911
2977,3893,3.0875
3410,3424,3.40829
2181,1282,3.56675
1383,2374,2.9735
5395,750,4.10094
3467,3809,4.05827
1489,1225,2.84177
187,3147,3.96319
5733,733,3.73708
2990,2859,4.13914
1816,879,4.00035
5520,3893,3.99834
4995,296,3.49833
1120,1022,3.87142
5908,2005,4.05794
1478,551,2.54652
2907,2506,3.25784
655,1095,3.05386
4279,3766,3.17412
3563,2144,3.83085
3029,2116,3.90607
1841,180,2.65106
3133,3578,3.53601
5872,260,3.62453
303,647,3.79604
4998,2959,4.09521
3378,2987,3.86965
3976,2926,3.83702
3415,2000,4.02386
1370,1344,3.52787
302,1822,2.69781
4902,3168,3.6621
4741,296,4.80816
4090,2947,3.74499
1550,3006,3.89254
529,3683,4.23628
5966,345,3.04609
3140,1441,4.0556
33,1635,3.52826
1381,296,3.74879
3521,2717,3.75354
550,2528,3.5361
5018,1952,4.09252
5838,1296,4.14024
2196,2918,4.14145
3882,22,3.53428
2907,348,3.22925
3297,3825,3.48978
839,3526,4.10039
4277,190,4.14015
3945,2375,3.35064
1926,3083,4.17715
2063,2683,3.02988
5090,943,4.18497
4585,1077,3.74937
1598,1779,3.12659
4285,1033,3.64826
4985,3593,3.70996
1369,1985,3.45374
438,741,3.64631
3638,2701,3.10419
5550,1580,3.72668
3242,2763,3.61033
2656,3178,4.18715
4139,431,3.77237
5397,849,2.8629
4708,3359,4.09194
5653,2388,4.11159
3770,2390,4.00742
526,1196,3.81764
106,1059,4.32663
1068,442,3.61556
4044,1513,4.15558
3486,2294,4.12851
1812,342,3.89053
5956,1527,3.33045
5119,2352,3.94982
3313,786,3.56123
3906,1610,3.70038
2529,2396,3.82616
3652,2140,3.42856
2436,2105,3.67221
4533,1089,3.84209
6040,2645,3.64447
3082,1380,3.32195
4418,3683,3.99224
5097,1214,4.2058
3841,2005,3.1762
5108,2407,3.1863
5205,196,3.15693
